rag_place_id,local_image_count,primary_candidate,image_files,total_size_bytes
BT_0003,2,data/image_pipeline/downloaded/optimized/BT_0003/BT_0003_01.webp,data/image_pipeline/downloaded/optimized/BT_0003/BT_0003_01.webp|data/image_pipeline/downloaded/optimized/BT_0003/BT_0003_02.webp,301228
BT_0009,3,data/image_pipeline/downloaded/optimized/BT_0009/BT_0009_01.webp,data/image_pipeline/downloaded/optimized/BT_0009/BT_0009_01.webp|data/image_pipeline/downloaded/optimized/BT_0009/BT_0009_02.webp|data/image_pipeline/downloaded/optimized/BT_0009/BT_0009_03.webp,289776
BT_0023,1,data/image_pipeline/downloaded/optimized/BT_0023/BT_0023_01.webp,data/image_pipeline/downloaded/optimized/BT_0023/BT_0023_01.webp,153856
BTre_0001,1,data/image_pipeline/downloaded/optimized/BTre_0001/BTre_0001_01.webp,data/image_pipeline/downloaded/optimized/BTre_0001/BTre_0001_01.webp,39452
CB_0001,2,data/image_pipeline/downloaded/optimized/CB_0001/CB_0001_01.webp,data/image_pipeline/downloaded/optimized/CB_0001/CB_0001_01.webp|data/image_pipeline/downloaded/optimized/CB_0001/CB_0001_02.webp,219974
CM_0001,4,data/image_pipeline/downloaded/optimized/CM_0001/CM_0001_01.webp,data/image_pipeline/downloaded/optimized/CM_0001/CM_0001_01.webp|data/image_pipeline/downloaded/optimized/CM_0001/CM_0001_02.webp|data/image_pipeline/downloaded/optimized/CM_0001/CM_0001_03.webp|data/image_pipeline/downloaded/optimized/CM_0001/CM_0001_04.webp,389492
CM_0019,2,data/image_pipeline/downloaded/optimized/CM_0019/CM_0019_01.webp,data/image_pipeline/downloaded/optimized/CM_0019/CM_0019_01.webp|data/image_pipeline/downloaded/optimized/CM_0019/CM_0019_02.webp,368692
CT_0031,4,data/image_pipeline/downloaded/optimized/CT_0031/CT_0031_01.webp,data/image_pipeline/downloaded/optimized/CT_0031/CT_0031_01.webp|data/image_pipeline/downloaded/optimized/CT_0031/CT_0031_02.webp|data/image_pipeline/downloaded/optimized/CT_0031/CT_0031_03.webp|data/image_pipeline/downloaded/optimized/CT_0031/CT_0031_04.webp,866758
DN_0001,4,data/image_pipeline/downloaded/optimized/DN_0001/DN_0001_01.webp,data/image_pipeline/downloaded/optimized/DN_0001/DN_0001_01.webp|data/image_pipeline/downloaded/optimized/DN_0001/DN_0001_02.webp|data/image_pipeline/downloaded/optimized/DN_0001/DN_0001_03.webp|data/image_pipeline/downloaded/optimized/DN_0001/DN_0001_04.webp,391248
DN_0007,4,data/image_pipeline/downloaded/optimized/DN_0007/DN_0007_01.webp,data/image_pipeline/downloaded/optimized/DN_0007/DN_0007_01.webp|data/image_pipeline/downloaded/optimized/DN_0007/DN_0007_02.webp|data/image_pipeline/downloaded/optimized/DN_0007/DN_0007_03.webp|data/image_pipeline/downloaded/optimized/DN_0007/DN_0007_04.webp,717340
